"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F3C2NTJD","journalArticle","2018","A, Shetty Sudarshan; Leo, Lahti; DA, Hermes Gerben; Smidt, Hauke","Microbial Bioinformatics Introductory Course Material 2018","","","","10.5281/ZENODO.1436630","https://zenodo.org/record/1436630","Course materials and online book created using the R bookdown package from the three day spring school on basics of high throughput 16S rRNA gene sequencing data analysis. This spring school was organised in collaboration with VLAG graduate school, Laboratory of Microbiology, Laboratory of Systems and Synthetic Biology, Wageningen University &amp; Research, the Netherlands and Department of Mathematics and Statistics University of Turku, Finland. This year it will be held at Wageningen University &amp; Research. We will cover topics related to basics of sequencing and microbial community analysis. We will use NG-Tax and R based tools like Phyloseq, microbiome and ggplot2 for downstream data analysis and visualization. The tutorial in this version deals with downstream analysis from otu tables/biom files.","2018-09-27","2019-10-29 14:33:40","2019-10-30 12:25:41","2019-10-29 14:33:40","","","","","","","","","","","","","","en","Creative Commons Attribution Share-Alike 4.0, Open Access","","","","DOI.org (Datacite)","","Citation Key Alias: AMicrobialBioinformaticsIntroductory2018, AMicrobialBioinformaticsIntroductory2018a Citation Key Alias: AMicrobialBioinformaticsIntroductory2018, AMicrobialBioinformaticsIntroductory2018a Citation Key Alias: AMicrobialBioinformaticsIntroductory2018, AMicrobialBioinformaticsIntroductory2018a","","","","","microbiota data analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6UW7T45Q","journalArticle","2013","McMurdie, Paul J.; Holmes, Susan","phyloseq: An R Package for Reproducible Interactive Analysis and Graphics of Microbiome Census Data","PLoS ONE","","1932-6203","10.1371/journal.pone.0061217","https://dx.plos.org/10.1371/journal.pone.0061217","","2013-04-22","2019-10-29 14:33:42","2019-10-29 14:33:42","2019-10-29 14:33:42","e61217","","4","8","","PLoS ONE","phyloseq","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/SQAL2ERD/McMurdie_Holmes_2013_phyloseq.pdf","","","","Watson, Michael","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7Y64Y24I","journalArticle","2018","Davis, Nicole M.; Proctor, Diana M.; Holmes, Susan P.; Relman, David A.; Callahan, Benjamin J.","Simple statistical identification and removal of contaminant sequences in marker-gene and metagenomics data","Microbiome","","2049-2618","10.1186/s40168-018-0605-2","https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-018-0605-2","","2018-12","2019-10-29 14:33:56","2019-10-30 12:03:30","2019-10-29 14:33:56","226","","1","6","","Microbiome","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key Alias: DavisSimplestatisticalidentification2018, DavisSimplestatisticalidentification2018d","","/home/eror/Zotero/storage/UA27YRG4/Davis et al_2018_Simple statistical identification and removal of contaminant sequences in.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8W74QDKT","journalArticle","2017","Castrillo, Gabriel; Teixeira, Paulo José Pereira Lima; Paredes, Sur Herrera; Law, Theresa F.; de Lorenzo, Laura; Feltcher, Meghan E.; Finkel, Omri M.; Breakfield, Natalie W.; Mieczkowski, Piotr; Jones, Corbin D.; Paz-Ares, Javier; Dangl, Jeffery L.","Root microbiota drive direct integration of phosphate stress and immunity","Nature","","0028-0836, 1476-4687","10.1038/nature21417","http://www.nature.com/articles/nature21417","","2017-03","2019-10-29 14:34:00","2019-10-29 14:34:00","2019-10-29 14:34:00","513-518","","7646","543","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/GZ6RT6HY/Castrillo et al_2017_Root microbiota drive direct integration of phosphate stress and immunity.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UEIIVEVR","journalArticle","2018","Vatanen, Tommi; Franzosa, Eric A.; Schwager, Randall; Tripathi, Surya; Arthur, Timothy D.; Vehik, Kendra; Lernmark, Åke; Hagopian, William A.; Rewers, Marian J.; She, Jin-Xiong; Toppari, Jorma; Ziegler, Anette-G.; Akolkar, Beena; Krischer, Jeffrey P.; Stewart, Christopher J.; Ajami, Nadim J.; Petrosino, Joseph F.; Gevers, Dirk; Lähdesmäki, Harri; Vlamakis, Hera; Huttenhower, Curtis; Xavier, Ramnik J.","The human gut microbiome in early-onset type 1 diabetes from the TEDDY study","Nature","","0028-0836, 1476-4687","10.1038/s41586-018-0620-2","http://www.nature.com/articles/s41586-018-0620-2","","2018-10","2019-10-29 14:34:04","2019-10-30 12:30:38","2019-10-29 14:34:04","589-594","","7728","562","","Nature","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/W562C6R3/Vatanen et al_2018_The human gut microbiome in early-onset type 1 diabetes from the TEDDY study.pdf","","human","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JNGS96S7","journalArticle","2019","Gilmore, Robert; Hutchins, Shaurita; Zhang, Xiao; Vallender, Eric","MicrobiomeR: An R Package for Simplified and Standardized Microbiome Analysis Workflows","Journal of Open Source Software","","2475-9066","10.21105/joss.01299","http://joss.theoj.org/papers/10.21105/joss.01299","","2019-03-31","2019-10-29 14:34:12","2019-10-29 14:34:12","2019-10-29 14:34:12","1299","","35","4","","JOSS","MicrobiomeR","","","","","","","","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/XW9XVCDV/Gilmore et al_2019_MicrobiomeR.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MICWPVV4","journalArticle","2019","McLaren, Michael R; Willis, Amy D; Callahan, Benjamin J","Consistent and correctable bias in metagenomic sequencing experiments","eLife","","2050-084X","10.7554/eLife.46923","https://elifesciences.org/articles/46923","Marker-gene and metagenomic sequencing have profoundly expanded our ability to measure biological communities. But the measurements they provide differ from the truth, often dramatically, because these experiments are biased toward detecting some taxa over others. This experimental bias makes the taxon or gene abundances measured by different protocols quantitatively incomparable and can lead to spurious biological conclusions. We propose a mathematical model for how bias distorts community measurements based on the properties of real experiments. We validate this model with 16S rRNA gene and shotgun metagenomics data from defined bacterial communities. Our model better fits the experimental data despite being simpler than previous models. We illustrate how our model can be used to evaluate protocols, to understand the effect of bias on downstream statistical analyses, and to measure and correct bias given suitable calibration controls. These results illuminate new avenues toward truly quantitative and reproducible metagenomics measurements.","2019-09-10","2019-10-29 14:34:14","2019-10-29 14:34:14","2019-10-29 14:34:14","e46923","","","8","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/47YD4PWU/McLaren et al_2019_Consistent and correctable bias in metagenomic sequencing experiments.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SPLGW8WA","journalArticle","2014","Elliott, David R.; Thomas, Andrew D.; Hoon, Stephen R.; Sen, Robin","Niche partitioning of bacterial communities in biological crusts and soils under grasses, shrubs and trees in the Kalahari","Biodiversity and Conservation","","0960-3115, 1572-9710","10.1007/s10531-014-0684-8","http://link.springer.com/10.1007/s10531-014-0684-8","","2014-06","2019-10-29 14:34:18","2019-10-29 14:34:18","2019-10-29 14:34:18","1709-1733","","7","23","","Biodivers Conserv","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/CRW2JNJQ/Elliott et al_2014_Niche partitioning of bacterial communities in biological crusts and soils.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A7GLKTT6","journalArticle","2018","García-Jiménez, Beatriz; de la Rosa, Tomás; Wilkinson, Mark D","MDPbiome: microbiome engineering through prescriptive perturbations","Bioinformatics","","1367-4803, 1460-2059","10.1093/bioinformatics/bty562","https://academic.oup.com/bioinformatics/article/34/17/i838/5093255","","2018-09-01","2019-10-29 14:34:21","2019-10-29 14:34:21","2019-10-29 14:34:21","i838-i847","","17","34","","","MDPbiome","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/P8M22YT8/García-Jiménez et al_2018_MDPbiome.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7YMEC8G5","journalArticle","2014","Costea, Paul I; Zeller, Georg; Sunagawa, Shinichi; Bork, Peer","A fair comparison","Nature Methods","","1548-7091, 1548-7105","10.1038/nmeth.2897","http://www.nature.com/articles/nmeth.2897","","2014-04","2019-10-29 14:34:36","2019-10-29 14:34:36","2019-10-29 14:34:36","359-359","","4","11","","Nat Methods","","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"563E6C5N","journalArticle","2019","Hawinkel, Stijn; Kerckhof, Frederiek-Maarten; Bijnens, Luc; Thas, Olivier","A unified framework for unconstrained and constrained ordination of microbiome read count data","PLOS ONE","","1932-6203","10.1371/journal.pone.0205474","http://dx.plos.org/10.1371/journal.pone.0205474","","2019-02-13","2019-10-29 14:34:38","2019-10-30 12:05:07","2019-10-29 14:34:38","e0205474","","2","14","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key Alias: Hawinkelunifiedframeworkunconstrained2019, Hawinkelunifiedframeworkunconstrained2019d","","/home/eror/Zotero/storage/QAZEBNHH/Hawinkel et al_2019_A unified framework for unconstrained and constrained ordination of microbiome.pdf","","","","Wilson, Brenda A","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KMNY432E","journalArticle","2018","Piccolo, Brian D; Wankhade, Umesh D; Chintapalli, Sree V; Bhattacharyya, Sudeepa; Chunqiao, Luo; Shankar, Kartik","Dynamic assessment of microbial ecology (DAME): a web app for interactive analysis and visualization of microbial sequencing data","Bioinformatics","","1367-4803, 1460-2059","10.1093/bioinformatics/btx686","https://academic.oup.com/bioinformatics/article/34/6/1050/4566177","","2018-03-15","2019-10-29 14:34:59","2019-10-29 14:34:59","2019-10-29 14:34:59","1050-1052","","6","34","","","Dynamic assessment of microbial ecology (DAME)","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/BJ4ZFPH6/Piccolo et al_2018_Dynamic assessment of microbial ecology (DAME).pdf","","","","Kelso, Janet","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9M7XDPGK","computerProgram","2018","Leung, Eric; Noronha, Roshan; Mirza, Ali; Shenwai, Reva; Manji, Akiff; Mpatziakas, Stelios","Erictleung/Shinydiversity: Shinydiversity-V1.0.0","","","","","https://zenodo.org/record/1188304","Release Notes 	Initial shinydiversity release 	Consistent formatting between alpha and beta diversity documentation 	Interactive plots for alpha and beta diversity indices 	Add GPL-3.0 license","2018-03-03","2019-10-29 14:35:08","2019-10-30 12:25:44","2019-10-29 14:35:08","","","","","","","Erictleung/Shinydiversity","","","","","Zenodo","","","GNU General Public License 3.0, Open Access","","","","DOI.org (Datacite)","","DOI: 10.5281/ZENODO.1188304 Citation Key Alias: LeungErictleungShinydiversityShinydiversityV12018","","","","","alpha diversity; beta diversity; diversity; ecology; microbial ecology; microbiome; R; shiny","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ELG6RYV","journalArticle","2017","Dhariwal, Achal; Chong, Jasmine; Habib, Salam; King, Irah L.; Agellon, Luis B.; Xia, Jianguo","MicrobiomeAnalyst: a web-based tool for comprehensive statistical, visual and meta-analysis of microbiome data","Nucleic Acids Research","","0305-1048, 1362-4962","10.1093/nar/gkx295","https://academic.oup.com/nar/article-lookup/doi/10.1093/nar/gkx295","","2017-07-03","2019-10-29 14:35:10","2019-10-29 14:35:10","2019-10-29 14:35:10","W180-W188","","W1","45","","","MicrobiomeAnalyst","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/LEUVX7SE/Dhariwal et al_2017_MicrobiomeAnalyst.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B253PQ6V","journalArticle","2015","McMurdie, P. J.; Holmes, S.","Shiny-phyloseq: Web application for interactive microbiome analysis with provenance tracking","Bioinformatics","","1367-4803, 1460-2059","10.1093/bioinformatics/btu616","https://academic.oup.com/bioinformatics/article-lookup/doi/10.1093/bioinformatics/btu616","","2015-01-15","2019-10-29 14:35:23","2019-10-29 14:35:23","2019-10-29 14:35:23","282-283","","2","31","","Bioinformatics","Shiny-phyloseq","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/ENQYNEXP/McMurdie_Holmes_2015_Shiny-phyloseq.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"353G2PVQ","journalArticle","2015","Elliott, David R.; Caporn, Simon J. M.; Nwaishi, Felix; Nilsson, R. Henrik; Sen, Robin","Bacterial and Fungal Communities in a Degraded Ombrotrophic Peatland Undergoing Natural and Managed Re-Vegetation","PLOS ONE","","1932-6203","10.1371/journal.pone.0124726","https://dx.plos.org/10.1371/journal.pone.0124726","","2015-05-13","2019-10-29 14:35:26","2019-10-29 14:35:26","2019-10-29 14:35:26","e0124726","","5","10","","PLoS ONE","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/JLFRLNAN/Elliott et al_2015_Bacterial and Fungal Communities in a Degraded Ombrotrophic Peatland Undergoing.pdf","","","","Singer, Andrew C","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELNX8MFM","journalArticle","2015","Shankar, Jyoti; Szpakowski, Sebastian; Solis, Norma V; Mounaud, Stephanie; Liu, Hong; Losada, Liliana; Nierman, William C; Filler, Scott G","A systematic evaluation of high-dimensional, ensemble-based regression for exploring large model spaces in microbiome analyses","BMC Bioinformatics","","1471-2105","10.1186/s12859-015-0467-6","https://bmcbioinformatics.biomedcentral.com/articles/10.1186/s12859-015-0467-6","","2015-12","2019-10-29 14:35:47","2019-10-30 12:05:57","2019-10-29 14:35:47","31","","1","16","","BMC Bioinformatics","","","","","","","","en","","","","","DOI.org (Crossref)","","Citation Key Alias: Shankarsystematicevaluationhighdimensional2015, Shankarsystematicevaluationhighdimensional2015d","","/home/eror/Zotero/storage/KPX3PTBV/Shankar et al_2015_A systematic evaluation of high-dimensional, ensemble-based regression for.pdf","","ML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JHJFG85V","journalArticle","2015","Shankar, Jyoti; Solis, Norma V.; Mounaud, Stephanie; Szpakowski, Sebastian; Liu, Hong; Losada, Liliana; Nierman, William C.; Filler, Scott G.","Using Bayesian modelling to investigate factors governing antibiotic-induced Candida albicans colonization of the GI tract","Scientific Reports","","2045-2322","10.1038/srep08131","http://www.nature.com/articles/srep08131","","2015-07","2019-10-29 14:35:51","2019-10-29 14:35:51","2019-10-29 14:35:51","8131","","1","5","","Sci Rep","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/eror/Zotero/storage/UVHNTY6F/Shankar et al_2015_Using Bayesian modelling to investigate factors governing antibiotic-induced.pdf","","ML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
